seq,tag,dbh,year,vigor_base2017,basal_area,bai,rbai,sap_vol,ssc,syrup_vol,crownclass2018,strata.pre,crownclass2020,strata.post,crown.class,ftg2017,pct.open.jan.2019,FTG2019,crown.area.2017,numb.taps2017
1,2801,12.1,2016,116.89536383999997,114.98690015999999,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,315,4,621.61,1
1,2801,12.2,2017,116.89536383999997,116.89536383999997,1.9084636799999828,NA,26.73,1.35,0.46,i,lower,c,upper,i,0,315,4,621.61,1
1,2801,12.3,2018,116.89536383999997,118.81953504,1.924171200000032,1.6460628863209092,26.3699076,1.48,0.77,i,lower,c,upper,i,0,315,4,621.61,1
1,2801,12.66,2019,116.89536383999997,125.87660962559998,7.0570745855999775,6.037086804622396,28.3,2.3,0.8,i,lower,c,upper,i,0,315,4,621.61,1
1,2801,12.9,2020,116.89536383999997,130.69442016,4.81781053440001,4.121472722386465,39.28,1.15,0.79,i,lower,c,upper,i,0,315,4,621.61,1
2,2802,10.45,2016,88.24484736,85.76502263999998,NA,NA,NA,NA,NA,i,lower,i,lower,i,0,22,1,258.51,12
2,2802,10.6,2017,88.24484736,88.24484736,2.4798247200000105,NA,22.95,1.3,0.41,i,lower,i,lower,i,0,22,1,258.51,12
2,2802,10.7,2018,88.24484736,89.91769823999998,1.6728508799999844,1.8956924172303133,32.13651503,1.23,0.71,i,lower,i,lower,i,0,22,1,258.51,12
2,2802,10.9,2019,88.24484736,93.31052256,3.3928243200000168,3.8447846208615353,43.8,1.4,0.7,i,lower,i,lower,i,0,22,1,258.51,12
2,2802,10.9,2020,88.24484736,93.31052256,0,0,35.87,0.99,0.53,i,lower,i,lower,i,0,22,1,258.51,12
3,2803,14.2,2016,161.72658935999996,158.36321663999996,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,270,4,494.18,12
3,2803,14.35,2017,161.72658935999996,161.72658935999996,3.363372720000001,NA,11.68,1.53,0.27,c,upper,c,upper,c,0,270,4,494.18,12
3,2803,14.55,2018,161.72658935999996,166.26606264,4.539473280000038,2.806881229588826,33.72799231,1.31,0.53,c,upper,c,upper,c,0,270,4,494.18,12
3,2803,14.72,2019,161.72658935999996,170.1740150784,3.9079524384000024,2.4163945173548322,45.7,2,1,c,upper,c,upper,c,0,270,4,494.18,12
3,2803,14.85,2020,161.72658935999996,173.19307895999998,3.019063881599976,1.8667702655124967,42.29,1.02,0.77,c,upper,c,upper,c,0,270,4,494.18,12
4,319,NA,2016,183.84866784000002,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,90,1,450.47,NA
4,319,15.3,2017,183.84866784000002,183.84866784000002,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,90,1,450.47,NA
4,319,15.35,2018,183.84866784000002,185.05225656,1.2035887199999706,0.6546627365543006,27.08924896,1.47,0.62,c,upper,c,upper,c,0,90,1,450.47,NA
4,319,15.48,2019,183.84866784000002,188.1999650304,3.147708470400005,1.7121192703661008,38,2.1,0.9,c,upper,c,upper,c,0,90,1,450.47,NA
4,319,15.5,2020,183.84866784000002,188.68658399999998,0.48661896959998785,0.26468452304668477,45.82,1.34,0.75,c,upper,c,upper,c,0,90,1,450.47,NA
5,320,NA,2016,268.79493599999995,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,45,1,581.14,NA
5,320,18.5,2017,268.79493599999995,268.79493599999995,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,45,1,581.14,NA
5,320,18.6,2018,268.79493599999995,271.70868096,2.913744960000031,1.0840029218407714,19.60344442,1.77,0.82,c,upper,c,upper,c,0,45,1,581.14,NA
5,320,18.7,2019,268.79493599999995,274.63813344,2.929452480000009,1.0898466033601204,39.2,2.1,0.9,c,upper,c,upper,c,0,45,1,581.14,NA
5,320,18.74,2020,268.79493599999995,275.8143125375999,1.1761790975999133,0.43757487216943464,39.69,1.35,0.86,c,upper,c,upper,c,0,45,1,581.14,NA
6,2804,17.5,2016,248.83853184,240.5214,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,150,2,782.66,19
6,2804,17.8,2017,248.83853184,248.83853184,8.317131840000002,NA,41.49,1.7,1,c,upper,c,upper,c,0,150,2,782.66,19
6,2804,17.8,2018,248.83853184,248.83853184,0,0,15.99086673,1.73,1.01,c,upper,c,upper,c,0,150,2,782.66,19
6,2804,17.9,2019,248.83853184,251.64232415999996,2.803792319999957,1.1267516727685725,53.6,2.3,1.4,c,upper,c,upper,c,0,150,2,782.66,19
6,2804,18,2020,248.83853184,254.46182399999998,2.81949984000002,1.1330640070698224,46.98,1.23,1.04,c,upper,c,upper,c,0,150,2,782.66,19
7,321,NA,2016,124.68629375999998,NA,NA,NA,NA,NA,NA,i,lower,i,lower,i,0,45,1,248.44,NA
7,321,12.6,2017,124.68629375999998,124.68629375999998,NA,NA,NA,NA,NA,i,lower,i,lower,i,0,45,1,248.44,NA
7,321,12.6,2018,124.68629375999998,124.68629375999998,0,0,37.87414865,1.55,0.34,i,lower,i,lower,i,0,45,1,248.44,NA
7,321,12.6,2019,124.68629375999998,124.68629375999998,0,0,48.5,2,1.1,i,lower,i,lower,i,0,45,1,248.44,NA
