seq,tag,dbh2016,dbh2017,dbh2018,dbh2019,dbh2020,crown.area.2017,syrup2017,sap2017,ssc2017,syrup2018,ssc2018,sap2018,sap2019,ssc2019,syrup2019,sap2020,ssc2020,syrup2020,sap2020.long,ssc2020.long,syrup2020.long
1,2801,12.1,12.2,12.3,12.66,12.9,621.61,0.46,26.73,1.35,0.77,1.48,26.3699076,28.3,2.3,0.8,39.28,1.15,0.79,80.3,1.75,1.4
2,2802,10.45,10.6,10.7,10.9,10.9,258.51,0.41,22.95,1.3,0.71,1.23,32.13651503,43.8,1.4,0.7,35.87,0.99,0.53,62.71,1.3,0.83
3,2803,14.2,14.35,14.55,14.72,14.85,494.18,0.27,11.68,1.53,0.53,1.31,33.72799231,45.7,2,1,42.29,1.02,0.77,83.19,1.6,1.31
4,319,,15.3,15.35,15.48,15.5,450.47,,,,0.62,1.47,27.08924896,38,2.1,0.9,45.82,1.34,0.75,60.86,1.44,1.01
5,320,,18.5,18.6,18.7,18.74,581.14,,,,0.82,1.77,19.60344442,39.2,2.1,0.9,39.69,1.35,0.86,71.22,1.91,1.39
6,2804,17.5,17.8,17.8,17.9,18,782.66,1,41.49,1.7,1.01,1.73,15.99086673,53.6,2.3,1.4,46.98,1.23,1.04,89.56,1.93,1.72
7,321,,12.6,12.6,12.6,12.6,248.44,,,,0.34,1.55,37.87414865,48.5,2,1.1,22.62,1.19,0.4,39.8,1.54,0.67
8,2805,,17.3,17.3,17.4,17.4,509.29,0.37,18.65,1.3,0.33,1.5,31.04930347,35.4,1.5,0.6,39.57,1.03,0.7,86.32,1.54,1.36
9,2806,11.6,11.65,11.65,11.65,11.65,111.555,0.05,3.15,1.15,0.4,1.26,24.0287642,26.1,1.5,0.5,12.58,1.24,0.23,23.63,1.6,0.41
10,2807,14.2,14.2,14.2,14.2,14.2,323.15,0.57,16.33,2.25,0.35,2.21,25.54113914,31.8,2.5,0.9,24.88,2.5,0.73,27.48,2.58,0.79
11,322,,17.7,17.9,17.95,17.95,866.32,,,,0.89,1.38,24.22007022,20.5,2.3,0.6,35,1.45,0.83,65.37,2.08,1.46
12,2808,,10.86,10.9,11.02,11.15,211.36,0.23,13.63,1.25,0.37,1.42,42.47727595,34.7,1.6,0.6,25.8,1.02,0.46,47.5,1.55,0.68
13,2809,17.9,17.9,18.05,18.21,18.35,642.45,0.63,26.81,1.53,0.9,1.56,15.17113931,35.8,2,0.8,44.6,1.31,0.85,67.69,1.66,1.25
14,2827,,9.45,9.5,9.59,9.61,173.5,0.23,16.79,1.03,0.43,1.09,20.05715244,37.6,1.1,0.5,24.88,1.01,0.35,38.53,1.22,0.52
15,332,,11.88,11.9,11.98,12.05,269.95,,,,0.38,1.27,23.87878112,54.7,1.3,0.8,41.74,1.1,0.63,64.3,1.31,0.92
16,333,,20.3,20.55,20.69,20.75,949.66,,,,1.71,1.71,36.03574111,92.4,2,2.1,71.62,1.47,1.69,122.19,2.07,2.63
17,2812,14.6,14.75,14.85,15.1,15.2,494.76,0.85,40.17,1.55,1.13,1.74,22.64584288,49.7,3,1.7,49.12,1.94,1.41,75.68,2.51,1.97
18,2811,,14.5,14.6,14.7,14.79,448.87,0.27,10.53,1.75,0.78,1.62,34.25047548,43.3,2,1,24.19,1.82,0.65,39.69,2.35,1
19,2810,,11.9,12,12.15,12.25,163.83,0.08,4.52,1.15,0.23,1.23,25.76102788,29.7,1.4,0.5,18.83,1.08,0.29,35.31,1.35,0.54
20,323,,14.15,14.2,14.3,14.3,397.83,,,,0.52,1.2,34.09604573,28,1.4,0.5,25.63,1.1,0.39,40.44,1.33,0.61
21,324,,16,16,16.2,16.21,392.38,,,,0.47,1.28,26.71990307,36.9,1.6,0.7,22.45,1.51,0.51,39.17,1.99,0.79
22,2813,15.1,15.1,15.1,15.19,15.15,243.34,0.45,34.05,1.15,0.35,1.54,38.74022122,55.8,1.4,0.9,34.68,0.92,0.53,77.2,1.33,1.12
23,2814,,16.3,16.5,16.7,16.75,467.67,0.63,28.18,1.73,0.59,1.75,36.31862147,61.1,1.9,1.3,54.09,1.32,1.1,98,1.77,1.9
24,2815,,14.9,14.9,15,15,622.48,0.35,13.9,1.8,0.79,1.78,26.41108958,47.7,2.2,1.2,36.51,1.69,0.95,62.25,2.27,1.52
25,325,,12.55,12.7,12.95,13.05,330.16,,,,0.58,1.2,25.70310685,41.1,1.3,0.6,50.45,0.97,0.81,95.63,1.41,1.45
26,2816,,10.2,10.2,10.35,10.35,179.14,0.32,23.38,1.1,0.26,1.2,32.92556383,29.5,1.5,0.5,26.15,0.97,0.48,55.42,1.62,0.8
27,2817,13.9,14,14.1,14.2,14.2,634.33,0.76,31.48,1.6,0.97,1.66,29.64886909,35.8,2.4,1,33.29,1.94,1.02,59.15,2.69,1.58
28,2818,14.2,14.35,14.4,14.4,14.4,481.07,0.42,15.15,1.95,0.61,1.86,34.59077632,28.7,2.1,0.7,28.6,0.88,0.67,86.51,2.06,1.67
29,2819,,10.7,10.7,10.75,10.75,204.65,0.28,11.6,1.7,0.52,1.66,17.32396514,29.6,1.7,0.6,26.79,1.54,0.54,38.01,1.77,0.74
30,2828,,9.35,9.4,9.4,9.4,87.54,0.39,23.26,1.3,0.52,1.36,50.32384529,24.5,1.3,0.4,24.88,0.84,0.34,48.65,1.21,0.62
31,2822,13.3,13.37,13.4,13.5,13.5,312.46,0.63,23.99,1.7,0.55,1.85,23.79477361,22.3,1.9,0.5,21.78,0.75,0.42,73.38,1.69,1.09
32,326,,16.55,16.6,16.8,16.82,1138.92,,,,0.71,1.61,40.33310767,47.8,1.9,1,52.7,1.42,1.05,82.15,1.75,1.57
33,2820,,18.95,19.05,19.35,19.35,457.72,0.52,20.64,1.75,0.4,1.47,46.28289588,62.8,1.6,1.2,53.22,1.06,0.92,93.72,1.51,1.48
34,328,,19.35,19.45,19.5,19.5,681.56,,,,0.39,1.58,13.66345571,61.3,1.5,1,67.8,0.91,1.02,124.33,1.32,1.74
35,2821,16.2,15.35,15.4,15.5,15.53,332.36,0.69,27.2,1.7,0.34,1.65,22.6309696,36.2,1.8,0.7,22.56,1,0.38,48.37,1.48,0.76
36,327,,17.2,17.3,17.5,17.5,544.03,,,,0.52,1.71,38.53533783,49.1,1.5,0.9,52.99,1.01,0.94,113.16,1.54,1.78
37,329,,12.05,12.15,12.3,12.35,289.78,,,,0.23,1.56,33.20862904,26.8,1.7,0.5,28.02,1.02,0.5,60.77,1.55,1.18
38,330,,13.2,13.4,13.63,13.71,317.26,,,,0.65,1.38,45.08112133,48.4,1.6,0.9,35.12,0.87,0.61,94.47,1.51,1.52
39,2823,,12.98,13.1,13.3,13.47,421.41,0.45,22.89,1.35,0.71,1.31,38.69170774,43.2,1.5,0.7,21.01,1.26,0.33,31.6,1.38,0.51
40,2824,15.7,15.85,16,16.2,16.3,620.76,0.58,33.61,1.25,0.45,1.39,74.05303012,49.7,1.5,0.8,50.04,1.07,0.81,83.83,1.41,1.32
41,331,,13.2,13.3,13.41,13.5,370.44,,,,0.45,1.56,27.04613409,47,1.8,1,40.96,1.11,0.71,70.29,1.52,1.16
42,2825,,11.9,12,12.35,12.57,501.17,0.28,18.43,1.08,0.39,1.25,21.22273488,53.4,1.3,0.8,40.03,1.1,0.6,62.42,1.31,0.87
43,2826,,10.63,10.75,10.91,11.05,209.56,0.07,4.9,0.95,0.23,1.2,14.0671918,23.3,1.4,0.4,15.53,0.85,0.21,29.18,1.16,0.38
