FTG2019,year,n,vigor,dbh_med,dbh_mean,BA,PCTopen,crown.area,sap_gal,ssc,syrup_gal
0,2017,3,NA,15.1,13.916666666666666,160.92943272,0,280.0566666666667,0,0,0
0,2018,3,0.35745946409677676,15.1,13.933333333333334,161.17486272,0,280.0566666666667,0,0,0
0,2019,3,0.7850053536665903,15.19,13.996666666666666,162.7969521312,0,280.0566666666667,0,0,0
0,2020,3,-0.17741911904448263,15.15,13.983333333333333,162.47924135999997,0,280.0566666666667,0,0,0
1,2017,14,NA,12.899999999999999,13.677142857142858,154.41582710674285,65.85714285714286,373.63107142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714
1,2018,14,0.8973100642315542,12.95,13.742857142857144,156.04074761142857,65.85714285714286,373.63107142857143,0,0,0
1,2019,14,1.4894831057799867,13.004999999999999,13.839285714285715,158.17854669325715,65.85714285714286,373.63107142857143,0,0,0
1,2020,14,0.36901846377265046,13.05,13.864285714285714,158.75771100479997,65.85714285714286,373.63107142857143,0,0,0
2,2017,8,NA,15.825,15.20875,186.78223372679997,148.75,492.34125,0.25,0.25,0.25
2,2018,8,1.2414021784237816,15.95,15.30625,189.25622703,148.75,492.34125,0,0,0
2,2019,8,1.729140278952522,16.1,15.4325,192.30634271519997,148.75,492.34125,0,0,0
2,2020,8,0.6757323564138036,16.14,15.485,193.67209194479997,148.75,492.34125,0,0,0
3,2017,8,NA,14.075,14.1725,159.3567565488,221.875,523.6375,0.375,0.375,0.375
3,2018,8,1.5759433381726737,14.149999999999999,14.28125,161.75824982999998,221.875,523.6375,0,0,0
3,2019,8,2.5713887339114083,14.25,14.46,165.8232480168,221.875,523.6375,0,0,0
3,2020,8,1.0764166607019925,14.25,14.53125,167.4068114628,221.875,523.6375,0,0,0
4,2017,10,NA,14.425,14.364,168.7846849344,306,464.089,0.2,0.2,0.2
4,2018,10,1.2627710465684365,14.575,14.45,170.720322624,306,464.089,0,0,0
4,2019,10,2.8753174244876205,14.71,14.641,174.993357096,306,464.089,0,0,0
4,2020,10,1.6413167973484026,14.82,14.737,176.90932897056,306,464.089,0,0,0
