FTG2019,year_sap,sap_vol_mean,ssc_mean,syrup_vol_mean
0,2017,25.32,1.25,0.4033333333333333
0,2018,40.037789993333334,1.4666666666666668,0.4
0,2019,38.56666666666666,1.4,0.6333333333333333
0,2020,33.04333333333334,0.93,0.5233333333333333
1,2017,NA,NA,NA
1,2018,29.467955441428572,1.5321428571428573,0.5592857142857143
1,2019,42.371428571428574,1.7571428571428571,0.8571428571428572
1,2020,35.45857142857143,1.227142857142857,0.6764285714285714
2,2017,NA,NA,NA
2,2018,22.64418911625,1.5975,0.6725
2,2019,37.525,1.9,0.8125
2,2020,37.78125,1.19625,0.74625
3,2017,NA,NA,NA
3,2018,38.788844055,1.44,0.67125
3,2019,41.5375,1.8375,0.8875
3,2020,35.7175,1.335,0.73875
4,2017,NA,NA,NA
4,2018,28.519292226,1.439,0.512
4,2019,43.74,1.75,0.87
4,2020,36.71,1.213,0.6880000000000001
